country,date,cases,events
Afghanistan,2020-01-22,0,
Afghanistan,2020-01-23,0,
Afghanistan,2020-01-24,0,
Afghanistan,2020-01-25,0,
Afghanistan,2020-01-26,0,
Afghanistan,2020-01-27,0,
Afghanistan,2020-01-28,0,
Afghanistan,2020-01-29,0,
Afghanistan,2020-01-30,0,
Afghanistan,2020-01-31,0,
Afghanistan,2020-02-01,0,
Afghanistan,2020-02-02,0,
Afghanistan,2020-02-03,0,
Afghanistan,2020-02-04,0,
Afghanistan,2020-02-05,0,
Afghanistan,2020-02-06,0,
Afghanistan,2020-02-07,0,
Afghanistan,2020-02-08,0,
Afghanistan,2020-02-09,0,
Afghanistan,2020-02-10,0,
Afghanistan,2020-02-11,0,
Afghanistan,2020-02-12,0,
Afghanistan,2020-02-13,0,
Afghanistan,2020-02-14,0,
Afghanistan,2020-02-15,0,
Afghanistan,2020-02-16,0,
Afghanistan,2020-02-17,0,
Afghanistan,2020-02-18,0,
Afghanistan,2020-02-19,0,
Afghanistan,2020-02-20,0,
Afghanistan,2020-02-21,0,
Afghanistan,2020-02-22,0,
Afghanistan,2020-02-23,0,
Afghanistan,2020-02-24,1,
Afghanistan,2020-02-25,1,
Afghanistan,2020-02-26,1,
Afghanistan,2020-02-27,1,
Afghanistan,2020-02-28,1,
Afghanistan,2020-02-29,1,
Afghanistan,2020-03-01,1,
Afghanistan,2020-03-02,1,
Afghanistan,2020-03-03,1,
Afghanistan,2020-03-04,1,
Afghanistan,2020-03-05,1,
Afghanistan,2020-03-06,1,
Afghanistan,2020-03-07,1,
Afghanistan,2020-03-08,4,
Afghanistan,2020-03-09,4,
Afghanistan,2020-03-10,5,
Afghanistan,2020-03-11,7,
Afghanistan,2020-03-12,7,
Afghanistan,2020-03-13,7,
Afghanistan,2020-03-14,11,
Afghanistan,2020-03-15,16,
Afghanistan,2020-03-16,21,
Afghanistan,2020-03-17,22,
Afghanistan,2020-03-18,22,
Afghanistan,2020-03-19,22,
Afghanistan,2020-03-20,24,
Afghanistan,2020-03-21,24,
Afghanistan,2020-03-22,40,
Afghanistan,2020-03-23,40,
Afghanistan,2020-03-24,74,
Afghanistan,2020-03-25,84,
Albania,2020-01-22,0,
Albania,2020-01-23,0,
Albania,2020-01-24,0,
Albania,2020-01-25,0,
Albania,2020-01-26,0,
Albania,2020-01-27,0,
Albania,2020-01-28,0,
Albania,2020-01-29,0,
Albania,2020-01-30,0,
Albania,2020-01-31,0,
Albania,2020-02-01,0,
Albania,2020-02-02,0,
Albania,2020-02-03,0,
Albania,2020-02-04,0,
Albania,2020-02-05,0,
Albania,2020-02-06,0,
Albania,2020-02-07,0,
Albania,2020-02-08,0,
Albania,2020-02-09,0,
Albania,2020-02-10,0,
Albania,2020-02-11,0,
Albania,2020-02-12,0,
Albania,2020-02-13,0,
Albania,2020-02-14,0,
Albania,2020-02-15,0,
Albania,2020-02-16,0,
Albania,2020-02-17,0,
Albania,2020-02-18,0,
Albania,2020-02-19,0,
Albania,2020-02-20,0,
Albania,2020-02-21,0,
Albania,2020-02-22,0,
Albania,2020-02-23,0,
Albania,2020-02-24,0,
Albania,2020-02-25,0,
Albania,2020-02-26,0,
Albania,2020-02-27,0,
Albania,2020-02-28,0,
Albania,2020-02-29,0,
Albania,2020-03-01,0,
Albania,2020-03-02,0,
Albania,2020-03-03,0,
Albania,2020-03-04,0,
Albania,2020-03-05,0,
Albania,2020-03-06,0,
Albania,2020-03-07,0,
Albania,2020-03-08,0,
Albania,2020-03-09,2,
Albania,2020-03-10,10,
Albania,2020-03-11,12,
Albania,2020-03-12,23,
Albania,2020-03-13,33,
Albania,2020-03-14,38,
Albania,2020-03-15,42,
Albania,2020-03-16,51,
Albania,2020-03-17,55,
Albania,2020-03-18,59,
Albania,2020-03-19,64,
Albania,2020-03-20,70,
Albania,2020-03-21,76,
Albania,2020-03-22,89,
Albania,2020-03-23,104,
Albania,2020-03-24,123,
Albania,2020-03-25,146,
Algeria,2020-01-22,0,
Algeria,2020-01-23,0,
Algeria,2020-01-24,0,
Algeria,2020-01-25,0,
Algeria,2020-01-26,0,
Algeria,2020-01-27,0,
Algeria,2020-01-28,0,
Algeria,2020-01-29,0,
Algeria,2020-01-30,0,
Algeria,2020-01-31,0,
Algeria,2020-02-01,0,
Algeria,2020-02-02,0,
Algeria,2020-02-03,0,
Algeria,2020-02-04,0,
Algeria,2020-02-05,0,
Algeria,2020-02-06,0,
Algeria,2020-02-07,0,
Algeria,2020-02-08,0,
Algeria,2020-02-09,0,
Algeria,2020-02-10,0,
Algeria,2020-02-11,0,
Algeria,2020-02-12,0,
Algeria,2020-02-13,0,
Algeria,2020-02-14,0,
Algeria,2020-02-15,0,
Algeria,2020-02-16,0,
Algeria,2020-02-17,0,
Algeria,2020-02-18,0,
Algeria,2020-02-19,0,
Algeria,2020-02-20,0,
Algeria,2020-02-21,0,
Algeria,2020-02-22,0,
